   14.0000172       115.095833       8.40649223    
   14.1000175       115.936470       8.40624523    
   14.2000179       116.777084       8.40599823    
   14.3000183       117.617676       8.40575123    
   14.4000187       118.458244       8.40550423    
   14.5000191       119.298782       8.40525723    
   14.6000195       120.139297       8.40501022    
   14.7000198       120.979790       8.40476322    
   14.8000202       121.820259       8.40451622    
   14.9000206       122.660698       8.40426922    
   15.0000210       123.501114       8.40402222    
   15.1000214       124.341507       8.40377522    
   15.2000217       125.181877       8.40352821    
   15.3000221       126.022224       8.40328121    
   15.4000225       126.862541       8.40303326    
   15.5000229       127.702835       8.40278625    
   15.6000233       128.543106       8.40253925    
   15.7000237       129.383347       8.40229130    
   15.8000240       130.223572       8.40204430    
   15.9000244       131.063766       8.40179634    
   16.0000248       131.903931       8.40154934    
   16.1000252       132.744080       8.40130138    
   16.2000256       133.584198       8.40105438    
   16.3000259       134.424301       8.40080643    
   16.4000263       135.264374       8.40055943    
   16.5000267       136.104416       8.40031147    
   16.6000271       136.944443       8.40006351    
   16.7000275       137.784439       8.39981651    
   16.8000278       138.624405       8.39956856    
   16.9000282       139.464355       8.39932060    
   17.0000286       140.304276       8.39907265    
   17.1000290       141.144180       8.39882469    
   17.2000294       141.984055       8.39857769    
   17.3000298       142.823898       8.39832973    
   17.4000301       143.663727       8.39808178    
   17.5000305       144.503525       8.39783382    
   17.6000309       145.343292       8.39758587    
   17.7000313       146.183044       8.39733791    
   17.8000317       147.022766       8.39708996    
   17.9000320       147.862473       8.39684200    
   18.0000324       148.702148       8.39659405    
   18.1000328       149.541794       8.39634609    
   18.2000332       150.381424       8.39609814    
   18.3000336       151.221024       8.39585018    
   18.4000340       152.060593       8.39560223    
   18.5000343       152.900146       8.39535427    
   18.6000347       153.739670       8.39510632    
   18.7000351       154.579178       8.39485836    
   18.8000355       155.418655       8.39461040    
   18.9000359       156.258102       8.39436245    
   19.0000362       157.097534       8.39411449    
   19.1000366       157.936935       8.39386654    
   19.2000370       158.776306       8.39361858    
   19.3000374       159.615662       8.39337063    
   19.4000378       160.454987       8.39312172    
   19.5000381       161.294296       8.39287376    
   19.6000385       162.133575       8.39262486    
   19.7000389       162.972824       8.39237690    
   19.8000393       163.812057       8.39212799    
   19.9000397       164.651260       8.39188004    
   20.0000401       165.490433       8.39163113    
   20.1000404       166.329590       8.39138317    
   20.2000408       167.168716       8.39113426    
   20.3000412       168.007828       8.39088535    
   20.4000416       168.846909       8.39063740    
   20.5000420       169.685959       8.39038849    
   20.6000423       170.524994       8.39013958    
   20.7000427       171.363998       8.38989162    
   20.8000431       172.202972       8.38964272    
   20.9000435       173.041931       8.38939381    
   21.0000439       173.880859       8.38914490    
   21.1000443       174.719757       8.38889599    
   21.2000446       175.558640       8.38864708    
   21.3000450       176.397491       8.38839912    
   21.4000454       177.236328       8.38815022    
   21.5000458       178.075134       8.38790131    
   21.6000462       178.913910       8.38765240    
   21.7000465       179.752670       8.38740349    
   21.8000469       180.591400       8.38715458    
   21.9000473       180.591400       8.38715458    
   21.9000473       181.430099       8.38690567    
   22.0000477       182.268784       8.38665676    
   22.1000481       183.107437       8.38640785    
   22.2000484       183.946075       8.38615894    
   22.3000488       184.784683       8.38591003    
   22.4000492       185.623260       8.38566113    
   22.5000496       186.461823       8.38541222    
   22.6000500       187.300354       8.38516331    
   22.7000504       188.138855       8.38491440    
   22.8000507       188.977341       8.38466549    
   22.9000511       189.815796       8.38441563    
   23.0000515       190.654236       8.38416672    
   23.1000519       191.492645       8.38391685    
   23.2000523       192.331024       8.38366795    
   23.3000526       193.169388       8.38341808    
   23.4000530       194.007721       8.38316917    
   23.5000534       194.846024       8.38291931    
   23.6000538       195.684311       8.38267040    
   23.7000542       196.522568       8.38242149    
   23.8000546       197.360794       8.38217163    
   23.9000549       198.199005       8.38192177    
   24.0000553       199.037186       8.38167286    
   24.1000557       199.875351       8.38142300    
   24.2000561       200.713486       8.38117313    
   24.3000565       201.551590       8.38092422    
   24.4000568       202.389679       8.38067436    
   24.5000572       203.227737       8.38042450    
   24.6000576       204.065765       8.38017464    
   24.7000580       204.903778       8.37992573    
   24.8000584       205.741760       8.37967587    
   24.9000587       206.579712       8.37942600    
   25.0000591       207.417648       8.37917614    
   25.1000595       208.255554       8.37892628    
   25.2000599       209.093445       8.37867641    
   25.3000603       209.931305       8.37842655    
   25.4000607       210.769135       8.37817669    
   25.5000610       211.606949       8.37792683    
   25.6000614       212.444733       8.37767696    
   25.7000618       213.282486       8.37742710    
   25.8000622       214.120224       8.37717724    
   25.9000626       214.957932       8.37692738    
   26.0000629       215.795609       8.37667751    
   26.1000633       216.633270       8.37642765    
   26.2000637       217.470901       8.37617779    
   26.3000641       218.308517       8.37592793    
   26.4000645       219.146103       8.37567806    
   26.5000648       219.983658       8.37542820    
   26.6000652       220.821198       8.37517834    
   26.7000656       221.658707       8.37492752    
   26.8000660       222.496185       8.37467766    
   26.9000664       223.333649       8.37442780    
   27.0000668       224.171082       8.37417698    
   27.1000671       225.008484       8.37392712    
   27.2000675       225.845871       8.37367725    
   27.3000679       226.683228       8.37342644    
   27.4000683       227.520554       8.37317562    
   27.5000687       228.357864       8.37292576    
   27.6000690       229.195145       8.37267590    
   27.7000694       230.032410       8.37242508    
   27.8000698       230.869644       8.37217426    
   27.9000702       231.706848       8.37192345    
   28.0000706       232.544037       8.37167358    
   28.1000710       233.381195       8.37142277    
   28.2000713       234.218323       8.37117195    
   28.3000717       235.055435       8.37092113    
   28.4000721       235.892517       8.37067032    
   28.5000725       236.729568       8.37042046    
   28.6000729       237.566605       8.37016964    
   28.7000732       238.403610       8.36991882    
   28.8000736       239.240585       8.36966801    
   28.9000740       240.077545       8.36941719    
   29.0000744       240.914474       8.36916637    
   29.1000748       241.751389       8.36891556    
   29.2000751       242.588272       8.36866474    
   29.3000755       243.425125       8.36841393    
   29.4000759       244.261963       8.36816406    
   29.5000763       245.098770       8.36791325    
   29.6000767       245.935547       8.36766243    
   29.7000771       246.772308       8.36741161    
   29.8000774       247.609039       8.36716080    
   29.9000778       248.445740       8.36690998    
   30.0000782       249.282425       8.36665916    
   30.1000786       250.119080       8.36640835    
   30.2000790       250.955704       8.36615753    
   30.3000793       251.792313       8.36590672    
